premise,answer1,answer2,asks-for,response,gold
Dijete je postalo imuno na bolest.,Izbjegavalo je izlaganje bolesti.,Primilo je cjepivo protiv bolesti.,,,
The grape juice fermented.,The juice turned to wine.,The juice evaporated.,effect,,1
Sok od grožđa je fermentirao.,Sok se pretvorio u vino.,Sok je ishlapio.,,,
The friends' debate dragged on interminably.,The friends saw eye to eye.,The friends were splitting hairs.,cause,,2
Rasprava među prijateljima beskonačno se vukla.,Prijatelji su se slagali.,Prijatelji su cjepidlačili.,,,
The woman hummed to herself.,She was nervous.,She was in a good mood.,cause,,2
Žena si je pjevušila.,Bila je nervozna.,Bila je dobre volje.,,,
The man hated his new haircut.,He wore a hat.,He grew a beard.,effect,,1
Muškarcu se nije sviđala njegova nova frizura.,Nosio je šešir.,Pustio je bradu.,,,
The police aimed their weapons at the fugitive.,The fugitive fell to the ground.,The fugitive dropped his gun.,effect,,2
Policija je uperila oružje prema bjeguncu.,Bjegunac je pao na zemlju.,Bjegunac je bacio pištolj.,,,
The patient was dehydrated.,The nurse tested his reflexes.,The nurse gave him an IV.,effect,,2
Pacijent je dehidrirao.,Medicinska sestra testirala je njegove reflekse.,Medicinska sestra dala mu je infuziju.,,,
The girl found the missing puzzle piece.,She completed the puzzle.,She took apart the puzzle.,effect,,1
Djevojka je pronašla dio slagalice koji je nedostajao.,Dovršila je slagalicu.,Rastavila je slagalicu.,,,
The man urgently leaped out of bed.,He wanted to shut off the alarm clock.,He wanted to iron his pants before work.,cause,,1
Muškarac je žurno skočio iz kreveta.,Htio je isključiti budilicu.,Htio je izglačati hlače prije posla.,,,
The papers were disorganized.,I made photocopies of them.,I put them into alphabetical order.,effect,,2
Papiri su bili neorganizirani.,Fotokopirao sam ih.,Složio sam ih abecednim redom.,,,
The woman won the lottery.,She bought a yacht.,She joined a church.,effect,,1
Žena je dobila na lutriji.,Kupila je jahtu.,Počela je ići u crkvu.,,,
The seamstress pushed the threaded needle into the fabric.,The thread wrapped around the needle.,The thread went through the fabric.,effect,,2
Krojačica je gurnula iglu s koncem u tkaninu.,Konac se omotao oko igle.,Konac je prošao kroz tkaninu.,,,
The woman hired a lawyer.,She decided to sue her employer.,She decided to run for office.,cause,,1
Žena je angažirala odvjetnika.,Odlučila je tužiti poslodavca.,Odlučila se kandidirati za politički položaj.,,,
The tenant misplaced his keys to his apartment.,His landlord unlocked the door.,His landlord repaired the door.,effect,,1
Stanar je zagubio ključeve svojeg stana.,Njegov je stanodavac otključao vrata.,Njegov je stanodavac popravio vrata.,,,
My favorite song came on the radio.,I covered my ears.,I sang along to it.,effect,,2
Moja omiljena pjesma zasvirala je na radiju.,Pokrio sam si uši.,Pjevao sam uz nju.,,,
The executive decided not to hire the applicant.,The applicant failed a background check.,The applicant had experience for the job.,cause,,1
Direktor je odlučio da neće zaposliti kandidata.,Kandidat nije prošao provjeru podobnosti.,Kandidat je imao iskustva u tom poslu.,,,
The man's eye became infected.,He went blind.,He put on glasses.,effect,,1
Muškarčevo se oko inficiralo.,Oslijepio je.,Stavio je naočale.,,,
The bird couldn't fly.,It migrated for the winter.,It injured its wing.,cause,,2
Ptica nije mogla letjeti.,Migrirala je preko zime.,Ozlijedila si je krilo.,,,
The girl made a wish.,She saw a black cat.,She saw a shooting star.,cause,,2
Djevojka je zaželjela želju.,Ugledala je crnu mačku.,Ugledala je zvijezdu padalicu.,,,
The woman shivered as she got out the pool.,She wrapped herself in a towel.,She poured herself some lemonade.,effect,,1
Žena je drhtala dok je izlazila iz bazena.,Omotala se ručnikom.,Natočila si je limunade.,,,
The nurse prepared the needle for the patient's injection.,The patient bled.,The patient tensed up.,effect,,2
Medicinska sestra pripremila je iglu za pacijentovu injekciju.,Pacijent je krvario.,Pacijent je postao napet.,,,
The man threw out the bread.,It was fresh.,It was stale.,cause,,2
Muškarac je bacio kruh.,Bio je svjež.,Bio je ustajao.,,,
The children knocked over a lamp.,They had a pillow fight.,They jumped on the bed.,cause,,1
Djeca su prevrnula svjetiljku.,Tukla su se jastucima.,Skakala su po krevetu.,,,
I drank from the water fountain.,I was thirsty.,I felt nauseous.,cause,,1
Pio sam iz fontane za vodu.,Bio sam žedan.,Bilo mi je mučno.,,,
The homeowners disliked their nosy neighbors.,They built a fence around their property.,They hosted a barbeque in their backyard.,effect,,1
Kućevlasnicima se nisu sviđali njihovi bučni susjedi.,Izgradili su ogradu oko svojeg posjeda.,Organizirali su roštilj u svojem stražnjem dvorištu.,,,
The bodybuilder lifted weights.,The gym closed.,Her muscles became fatigued.,effect,,2
Bodibilderica je dizala utege.,Teretana se zatvorila.,Mišići su joj se umorili.,,,
The cook stirred the ingredients in the bowl.,The ingredients melted.,The ingredients blended together.,effect,,2
Kuhar je miješao sastojke u zdjeli.,Sastojci su se rastopili.,Sastojci su se povezali.,,,
The man signed the document.,The transaction was voided.,The transaction became official.,effect,,2
Muškarac je potpisao dokument.,Transakcija je poništena.,Transakcija je postala službena.,,,
The police officer dropped the gun.,The gun recoiled.,The gun went off.,effect,,2
Policajac je bacio pištolj.,Pištolj je trznuo.,Pištolj je opalio.,,,
The woman felt compelled to help someone in need.,She donated blood.,She wrote a poem.,effect,,1
Žena je osjećala potrebu pomoći nekome u nevolji.,Donirala je krv.,Napisala je pjesmu.,,,
The woman felt lonely.,She renovated her kitchen.,She adopted a cat.,effect,,2
Žena se osjećala usamljeno.,Renovirala je svoju kuhinju.,Usvojila je mačku.,,,
I rubbed sandpaper on the wood.,The wood became smooth.,The wood became sticky.,effect,,1
Istrljao sam drvo brusnim papirom.,Drvo je postalo glatko.,Drvo je postalo ljepljivo.,,,
The crowd gave the band a standing ovation.,The band signed autographs.,The band reappeared on the stage.,effect,,2
Publika je ustala i zapljeskala bendu.,Bend je dao autograme.,Bend se ponovno pojavio na pozornici.,,,
The man threw his empty can onto the street.,He was jumped from behind.,He was fined for littering.,effect,,2
Muškarac je bacio praznu limenku na ulicu.,Netko ga je zaskočio s leđa.,Dobio je novčanu kaznu za onečišćivanje okoliša.,,,
My stomach growled.,I forgot to eat breakfast.,I was full from breakfast.,cause,,1
Trbuh mi je krulio.,Zaboravio sam pojesti doručak.,Bio sam sit od doručka.,,,
The boaters set off a flare.,Their boat drifted to shore.,Their boat was rescued.,effect,,2
Nautičari su upalili baklju.,Njihov je čamac doplovio na obalu.,Njihov je čamac spašen.,,,
The man removed his coat.,He entered the house.,He loosened his tie.,cause,,1
Muškarac je skinuo svoj kaput.,Ušao je u kuću.,Otpustio je kravatu.,,,
The family took their dog to the veterinarian.,The dog chewed on a bone.,The dog injured his paw.,cause,,2
Obitelj je odvela svojeg psa veterinaru.,Pas je žvakao kost.,Pas si je ozlijedio šapu.,,,
The woman dangled the biscuit above the dog.,The dog jumped up.,The dog scratched its fur.,effect,,1
Žena je mahala keksom iznad psa.,Pas je skočio u zrak.,Pas si je počešao krzno.,,,
I learned how to play the board game.,My friend explained the rules to me.,My friend got the rules wrong.,cause,,1
Naučio sam igrati društvenu igru.,Moj mi je prijatelj objasnio pravila.,Moj je prijatelj pogrešno shvatio pravila.,,,
The man went away for the weekend.,He wanted to relax.,He felt content.,cause,,1
Muškarac je otišao nekamo preko vikenda.,Htio se opustiti.,Osjećao se zadovoljno.,,,
The shop was closed.,The owner was helping customers.,The shop was undergoing renovation.,cause,,2
Trgovina je zatvorena.,Vlasnik je pomagao kupcima.,Trgovina se preuređivala.,,,
The boy tuned the radio.,The station was playing rock music.,The station was coming in with static.,cause,,2
Dječak je podesio radioprijemnik.,Na postaji je svirala rock glazba.,Postaja se čula sa šumom.,,,
The terrorist set off the bomb.,The bomb exploded.,The bomb was deactivated.,effect,,1
Terorist je aktivirao bombu.,Bomba je eksplodirala.,Bomba je deaktivirana.,,,
The police handcuffed the suspect.,The police called for backup.,The suspect resisted arrest.,cause,,2
Policija je stavila lisičine osumnjičeniku.,Policija je pozvala pojačanje.,Osumnjičenik se opirao uhićenju.,,,
The authorities vowed to protect the identity of the crime victim.,The victim struggled to recall details about the crime.,They withheld the victim's name from the public.,effect,,2
Policija je obećala da će zaštititi identitet žrtve zločina.,Žrtvi se bilo teško prisjetiti pojedinosti o zločinu.,Nije otkrila žrtvino ime javnosti.,,,
The man's clothes fit loosely.,He bought them on sale.,He lost weight.,cause,,2
Muškarcu je odjeća bila široka.,Kupio ju je na rasprodaji.,Smršavio je.,,,
The clock stopped ticking.,I took extra time to get ready.,The clock showed the wrong time.,effect,,2
Sat je prestao otkucavati.,Trebalo je više vremena da se spremimo.,Sat je pokazivao pogrešno vrijeme.,,,
The man closed the umbrella.,He got out of the car.,He approached the building.,cause,,2
Muškarac je zatvorio kišobran.,Izašao je iz automobila.,Došao je do zgrade.,,,
The man craved a cigarette.,His family urged him to quit smoking.,He was addicted to nicotine.,cause,,2
Muškarac je žudio za cigaretom.,Njegova ga je obitelj nagovarala da prestane pušiti.,Bio je ovisan o nikotinu.,,,
The man dropped food on the floor.,His dog jumped up on him.,His dog ran over to eat the food.,effect,,2
Muškarcu je ispala hrana na pod.,Njegov je pas skočio na njega.,Njegov je pas dotrčao da pojede hranu.,,,
The girl was angry with her friend.,The girl spread a rumor about her friend.,The girl told a secret to her friend.,effect,,1
Djevojka se ljutila na prijateljicu.,Djevojka je proširila glasinu o prijateljici.,Djevojka je odala tajnu prijateljici.,,,
The fugitive hid from the police.,The police dropped the case.,The fugitive remained at large.,effect,,2
Bjegunac se skrivao od policije.,Policija je odustala od slučaja.,Bjegunac je ostao na slobodi.,,,
I tipped the bottle.,The liquid in the bottle froze.,The liquid in the bottle poured out.,effect,,2
Prevrnuo sam bocu.,Tekućina u boci se smrznula.,Tekućina u boci se izlila.,,,
The woman spoke with a foreign accent.,She came from a wealthy family.,She migrated from another country.,cause,,2
Žena je govorila stranim naglaskom.,Bila je iz bogate obitelji.,Doselila se iz druge države.,,,
The boy's mouth stung.,He ate a pepper.,He blew out the candle.,cause,,1
Dječaka su pekla usta.,Pojeo je feferon.,Ugasio je svijeću.,,,
I finished a page of the book.,I ripped out the next page.,I turned to the next page.,effect,,2
Pročitao sam stranicu knjige.,Istrgnuo sam sljedeću stranicu.,Okrenuo sam na sljedeću stranicu.,,,
The service at the restaurant was slow.,There were many empty tables.,The restaurant was crowded.,cause,,2
Posluživanje u restoranu bilo je sporo.,Bilo je mnogo praznih stolova.,Restoran je bio pretrpan.,,,
I saw a woman getting robbed on the street.,I called 911.,I hailed a cab.,effect,,1
Vidio sam kako netko pljačka ženu na ulici.,Nazvao sam policiju.,Pozvao sam taksi.,,,
My stomach hurt.,I jogged on the treadmill.,I ate birthday cake.,cause,,2
Bolio me trbuh.,Džogirao sam na traci za trčanje.,Jeo sam rođendansku tortu.,,,
I put my plate in the sink.,I finished eating.,I skipped dinner.,cause,,1
Stavio sam tanjur u sudoper.,Bio sam gotov s jelom.,Preskočio sam večeru.,,,
The man closed the book.,He finished reading it.,It provoked him to think.,cause,,1
Muškarac je zatvorio knjigu.,Upravo ju je pročitao.,Navela ga je na razmišljanje.,,,
The boy read the novel aloud to his grandfather.,His grandfather was deaf.,His grandfather was blind.,cause,,2
Dječak je čitao roman naglas svojem djedu.,Njegov je djed bio gluh.,Njegov je djed bio slijep.,,,
My foot went numb.,I put my shoes on.,I shook my foot.,effect,,2
Noga mi je utrnula.,Obuo sam cipele.,Protresao sam nogu.,,,
The photographer got the child to smile.,The photographer quickly snapped the child's photo.,The photographer quickly changed the child's pose.,effect,,1
Fotograf je naveo dijete da se nasmije.,Fotograf je brzo uslikao dijete.,Fotograf je brzo promijenio djetetovu pozu.,,,
The window was opaque.,The glass was stained.,The blinds were open.,cause,,1
Prozor je bio mutan.,Staklo je bilo prljavo.,Rolete su bile podignute.,,,
I slipped on the floor.,The tile was wet.,The tile was cracked.,cause,,1
Poskliznuo sam se na podu.,Pločica je bila mokra.,Pločica je bila napuknuta.,,,
The man slid the razor across his chin.,His stubble grew.,His stubble disappeared.,effect,,2
Muškarac je prošao britvom preko svoje brade.,Dlačice su mu je narasle.,Dlačice su mu nestale.,,,
The woman took her family on vacation.,Her husband got laid off.,She received a salary bonus.,cause,,2
Žena je povela svoju obitelj na odmor.,Njezin je muž dobio otkaz.,Dobila je dodatak na plaću.,,,
The woman awakened.,She took sleeping pills.,Her husband was snoring.,cause,,2
Žena se probudila.,Popila je tablete za spavanje.,Njezin je muž hrkao.,,,
The woman sensed a pleasant smell.,She remembered to take her medication.,She was reminded of her childhood.,effect,,2
Žena je osjetila ugodan miris.,Sjetila se popiti lijek.,Podsjetio ju je na njezino djetinjstvo.,,,
The bar closed.,It was crowded.,It was 3 AM.,cause,,2
Kafić se zatvorio.,Bio je pretrpan.,Bilo je 3 ujutro.,,,
The driver got pulled over by the police.,He was parking.,He was speeding.,cause,,2
Vozača je zaustavila policija.,Parkirao se.,Vozio je prebrzo.,,,
The teacher took roll.,She identified the students that were absent.,She gave her students a pop quiz.,effect,,1
Nastavnica je prozivala.,Odredila je koji su učenici odsutni.,Dala je svojim učenicima kontrolni.,,,
I pushed the pendulum.,It slowed to a stop.,It swung back and forth.,effect,,2
Gurnuo sam klatno.,Usporilo se i stalo.,Zanjihalo se naprijed-nazad.,,,
The child kicked the stack of blocks.,The stack towered over the boy's head.,The blocks scattered all over the rug.,effect,,2
Dječak je nogom udario toranj kockica.,Toranj se pružao iznad dječakove glave.,Kockice su se rasule po cijelom tepihu.,,,
The teenager ran away from home.,He relied on his parents.,His parents abused him.,cause,,2
Tinejdžer je pobjegao od kuće.,Oslanjao se na svoje roditelje.,Njegovi su ga roditelji zlostavljali.,,,
I botched the job interview.,The interviewer asked difficult questions.,I anticipated the interviewer's questions.,cause,,1
Uprskao sam razgovor za posao.,Voditelj razgovora postavljao je teška pitanja.,Predvidio sam pitanja voditelja razgovora.,,,
The pharmaceutical company recalled the drug.,Users reported dangerous side effects.,Users got refills on their prescriptions.,cause,,1
Farmaceutska tvrtka povukla je lijek.,Korisnici su prijavili opasne nuspojave.,Korisnici su dobili nove recepte.,,,
The man looked at his watch.,He realized he forgot something.,He realized he was early.,effect,,2
Muškarac je pogledao na sat.,Shvatio je da je nešto zaboravio.,Shvatio je da je uranio.,,,
I dabbed the floor with a paper towel.,I spilled juice on the floor.,The floor was permanently stained.,cause,,1
Obrisao sam pod papirnatim ručnikom.,Prolio sam sok po podu.,Pod je bio trajno umrljan.,,,
The bartender refused to serve the patron.,The patron was alone.,The patron was drunk.,cause,,2
Konobar nije htio poslužiti gosta.,Gost je bio sam.,Gost je bio pijan.,,,
I was confused by the professor's lecture.,I paid attention to the professor.,I asked the professor questions.,effect,,2
Zbunilo me profesorovo predavanje.,Obratio sam pozornost na profesora.,Postavio sam pitanja profesoru.,,,
The book was deemed inappropriate for children.,Schools banned it from its libraries.,Teachers required students to read it.,effect,,1
Knjigu se smatralo neprikladnom za djecu.,Škole su je zabranile u svojim knjižnicama.,Učitelji su tražili da je učenici pročitaju.,,,
The man begged for forgiveness.,The woman took pity on him.,The woman joked around with him.,effect,,1
Muškarac je molio za oprost.,Žena se sažalila nad njim.,Žena se zezala s njim.,,,
I received a package in the mail.,The package triggered my curiosity.,I took the package to the post office.,effect,,1
Primio sam paket poštom.,Paket je probudio moju znatiželju.,Odnio sam paket u poštanski ured.,,,
The surfer caught the wave.,The wave carried her to the shore.,She paddled her board into the ocean.,effect,,1
Surferica je uhvatila val.,Val ju je odnio do obale.,Odveslala je s daskom u ocean.,,,
The speaker disarmed her debate opponent.,The speaker congratulated her opponent.,The speaker won the debate.,effect,,2
Govornica je razoružala svojeg protivnika u debati.,Govornica je čestitala svojem protivniku.,Govornica je pobijedila u debati.,,,
I moved to a new city.,I found a better-paying job.,My son was born.,cause,,1
Preselio sam se u novi grad.,Našao sam posao s boljom plaćom.,Rodio mi se sin.,,,
I avoided giving a straight answer to the question.,The question made me uncomfortable.,I wanted to be honest.,cause,,1
Izbjegavao sam izravan odgovor na pitanje.,Pitanje mi je izazvalo neugodu.,Htio sam biti iskren.,,,
The student received detention.,He talked back to the teacher.,The teacher graded his homework.,cause,,1
Učenik je dobio kaznu.,Bio je drzak prema učitelju.,Učitelj je ocijenio njegovu domaću zadaću.,,,
The boy's hands were shaking.,He planned to ask the girl out.,His palms were cold and sweaty.,cause,,1
Dječaku su se tresle ruke.,Planirao je pozvati djevojku van.,Dlanovi su mu bili hladni i znojni.,,,
The fans in the stadium cheered.,The game ended in a tie.,The player scored.,cause,,2
Obožavatelji na stadionu su klicali.,Utakmica je završila neriješeno.,Igrač je postigao zgoditak.,,,
The girl went down the hill on her bike.,Her bike swerved.,Her bike sped up.,effect,,2
Djevojka je išla nizbrdo na biciklu.,Bicikl joj je krivudao.,Bicikl joj je ubrzao.,,,
A man cut in front of me in the long line.,I confronted him.,I smiled at him.,effect,,1
Muškarac se ubacio ispred mene u dugom redu.,Suprotstavio sam mu se.,Nasmiješio sam mu se.,,,
The inside of the train went dark.,The train travelled through a tunnel.,The train ran off the tracks.,cause,,1
Unutrašnjost vlaka se zamračila.,Vlak je prolazio kroz tunel.,Vlak je izletio s tračnica.,,,
The man contemplated the painting.,He felt in awe.,He collapsed.,effect,,1
Muškarac je razmišljao o slici.,Osjećao je divljenje.,Srušio se.,,,
The turtle hid in its shell.,It ate a fish.,It detected a predator.,cause,,2
Kornjača se sakrila u svoj oklop.,Pojela je ribu.,Primijetila je grabežljivca.,,,
The girl handed down her clothes to her younger sister.,The clothes were tattered.,She outgrew the clothes.,cause,,2
Djevojka je dala svoju odjeću svojoj mlađoj sestri.,Odjeća je bila poderana.,Prerasla je tu odjeću.,,,
Several witnesses of the crime testified against the suspect.,The suspect was acquitted.,The suspect was convicted.,effect,,2
Nekoliko svjedoka zločina svjedočilo je protiv osumnjičenika.,Osumnjičenik je oslobođen krivnje.,Osumnjičenik je osuđen.,,,
The parents left their children with a babysitter.,Their youngest child started attending preschool.,They made plans to celebrate their anniversary.,cause,,2
Roditelji su ostavili svoju djecu s dadiljom.,Najmlađe dijete krenulo je u vrtić.,Organizirali su proslavu godišnjice braka.,,,
The trip took a long time.,The driver talked the whole way.,The driver made a wrong turn.,cause,,2
Putovanje je dugo trajalo.,Vozač je govorio cijelim putem.,Vozač je pogrešno skrenuo.,,,
The product was heavily advertised.,Consumers recognized the product.,The product became outdated.,effect,,1
Proizvod se intenzivno oglašavao.,Kupci su primijetili proizvod.,Proizvod je zastario.,,,
I rubbed the soap between my hands.,The soap foamed.,My hands went numb.,effect,,1
Utrljao sam sapun između svojih dlanova.,Sapun se zapjenio.,Dlanovi su mi utrnuli.,,,
The cowgirl threw her lasso towards the horse.,The lasso grabbed onto the horse.,The horse trotted into the barn.,effect,,1
Kaubojka je bacila svoj laso prema konju.,Laso se uhvatio za konja.,Konj je otkasao u staju.,,,
The group overlooked the woman's faux pas.,The woman was relieved.,The woman apologized.,effect,,1
Skupina je zanemarila ženinu pogrešku.,Žena je odahnula.,Žena se ispričala.,,,
The girl came across an unfamiliar word in her textbook.,She looked the term up in the dictionary.,She chucked the textbook across the room.,effect,,1
Djevojka je naišla na nepoznatu riječ u udžbeniku.,Potražila je pojam u rječniku.,Šiknula je udžbenik na drugu stranu sobe.,,,
The man became disabled.,His family offered him financial support.,His family cut off contact with him.,effect,,1
Muškarac je ostao invalid.,Njegova mu je obitelj ponudila novčanu podršku.,Njegova je obitelj prekinula kontakt s njim.,,,
The flashlight was dead.,I took it apart.,I replaced the batteries.,effect,,2
Ručna svjetiljka prestala je raditi.,Rastavio sam je.,Zamijenio sam baterije.,,,
The skunk sprayed the dog.,The dog emitted a foul smell.,The skunk roamed the woods.,effect,,1
Tvor je pošpricao psa.,Sa psa se širio neugodan miris.,Tvor je tumarao šumom.,,,
I scratched my skin.,My itch went away.,My scar faded.,effect,,1
Počešao sam si kožu.,Prestalo me svrbjeti.,Moj je ožiljak nestao.,,,
I wrote a thank-you note to my grandmother.,She became forgetful.,She sent me a gift.,cause,,2
Napisao sam zahvalnicu svojoj baki.,Počela je zaboravljati.,Poslala mi je poklon.,,,
A burglar broke into the house.,The homeowners were asleep.,The security alarm went off.,effect,,2
Provalnik je provalio u kuću.,Vlasnici kuće su spavali.,Uključio se sigurnosni alarm.,,,
I held the door for the woman entering behind me.,The door slammed shut.,The woman thanked me.,effect,,2
Pridržao sam vrata ženi koje je ulazila nakon mene.,Vrata su se zalupila.,Žena mi je zahvalila.,,,
The mirror in the bathroom fogged up.,The girl turned on the fan.,The girl applied her makeup.,effect,,1
Zrcalo u kupaonici se zamaglilo.,Djevojka je uključila ventilator.,Djevojka se našminkala.,,,
The security guard tackled the man.,The man reached into his pocket.,The man displayed a weapon.,cause,,2
Zaštitar je srušio muškarca.,Muškarac je posegnuo u svoj džep.,Muškarac je pokazao oružje.,,,
The driver rotated the steering wheel.,The car halted.,The car turned.,effect,,2
Vozač je okretao volan.,Automobil je stao.,Automobil je skrenuo.,,,
The army surrendered the battle.,They were outnumbered.,They stormed the city.,cause,,1
Vojska je predala bitku.,Bila je brojčano nadjačana.,Upala je u grad.,,,
The navy bombed the ship.,The ship crashed into the pier.,The ship's debris sunk in the sea.,effect,,2
Mornarica je bombardirala brod.,Brod se zabio u lukobran.,Ostaci broda potonuli su u more.,,,
I ironed my shirt.,It was clean.,It was wrinkled.,cause,,2
Izglačao sam svoju košulju.,Bila je čista.,Bila je izgužvana.,,,
The girl felt dizzy.,She lost her balance.,She did stretches.,effect,,1
Djevojci se vrtjelo u glavi.,Izgubila je ravnotežu.,Napravila je vježbe istezanja.,,,
The driver pulled over to the side of the road.,He went through an intersection.,He noticed a stranded vehicle.,cause,,2
Vozač se zaustavio uz cestu.,Prošao je kroz raskrižje.,Primijetio je napušteno vozilo.,,,
The hospital sent the patient home.,The patient's symptoms cleared up.,The patient's family visited him.,cause,,1
Bolnica je poslala pacijenta kući.,Pacijentovi su simptomi prošli.,Pacijentova obitelj posjetila ga je.,,,
The child caught a life-threatening illness.,She didn't get vaccinated.,She was adopted.,cause,,1
Dijete se zarazilo bolešću opasnom po život.,Nije se cijepilo.,Bilo je posvojeno.,,,
We found empty seats in the theatre.,The film began.,We sat down.,effect,,2
Pronašli smo prazna sjedala u kinu.,Film je počeo.,Sjeli smo.,,,
The parents recognized their daughter's creativity.,They taught her how to ride a bike.,They encouraged her to become an artist.,effect,,2
Roditelji su prepoznali kreativnost svoje kćeri.,Naučili su je voziti bicikl.,Poticali su je da postane umjetnica.,,,
